cityname,distance_0,duration_0,distance_2,duration_2
宁波市,261062,13008,253199,14335
荆门市,911762,38695,908481,40218
巴彦淖尔市,2123871,93111,1974378,130000
温州市,484561,23735,469395,26799
文山州,2277769,99749,2202157,117955
枣庄市,592397,25488,564058,30735
商丘市,664097,28109,614192,38940
淄博市,729286,32424,725387,34617
昆明市,2258303,98593,2197970,112883
连云港市,444125,19057,424298,25270
黄山市,425407,18899,383798,26241
吕梁市,1403797,64209,1294978,90066
沈阳市,1742451,76033,1629264,86986
济南市,770073,33638,759395,35931
九江市,696420,31901,670510,39875
儋州市,2139134,93025,2064344,124558
铁岭市,1830344,79163,1739424,95210
临夏回族自治州,1986395,85102,1935524,104231
常德市,1135159,48172,1092204,60343
定西市,1813091,78523,1766678,90673
忻州市,1406854,64166,1328669,74363
莆田市,862240,41110,823442,50017
海口市,2022933,88562,1974925,121233
运城市,1140097,51218,1111425,67313
郴州市,1202949,54163,1146335,66247
湘西土家族苗族自治州,1363442,61237,1323343,73868
青岛市,702530,29392,664377,43114
新乡市,896391,37317,818424,53938
德州市,876228,38232,832747,42536
喀什地区,5048550,209374,4712709,244349
西双版纳,2827675,127314,2768412,145443
马鞍山市,236506,11079,233381,12521
芜湖市,305079,13079,281094,23294
河源市,1217883,54605,1177871,69536
平顶山市,834150,33928,827633,37100
哈密地区,3283987,140500,3164972,179443
来宾市,1699575,72871,1636091,84495
邵阳市,1311199,57860,1282686,77746
衢州市,399097,19176,390535,24534
百色市,2079366,89025,2003533,105679
阜阳市,561200,23110,551660,25047
孝感市,787721,35177,775035,40207
南阳市,912554,36548,891025,47047
绍兴市,213091,11933,208261,13265
淮北市,506440,21665,497285,28777
滨州市,892636,38526,823505,42840
广安市,1603768,68753,1581534,73335
广州市,1376586,60826,1341601,80292
烟台市,846937,35432,796887,50356
唐山市,1180563,52096,1104057,64238
潍坊市,681818,28432,653080,42762
信阳市,617236,25824,614273,27393
昌都地区,2971459,152943,2942942,158982
廊坊市,1077398,47595,1054974,62303
仙桃市,849931,37072,846361,38546
平凉市,1622532,69604,1573114,94186
咸阳市,1396407,59525,1354409,79366
盐城市,289120,12657,275941,13913
保山市,2833526,126712,2772262,143247
莱芜市,682801,29340,671911,31436
萍乡市,944667,41374,929409,55427
安康市,1318877,57174,1272114,78135
汕头市,1249283,58546,1206275,71450
宁德市,628843,32971,612533,40043
梅州市,1143120,50860,1117037,61943
张家界市,1338949,61442,1212138,67713
柳州市,1640780,71232,1594010,89396
文昌市,2063952,90289,2017998,122478
