cityname,distance_0,duration_0,distance_2,duration_2
株洲市,1053946,46584,1006235,63168
湘潭市,1096340,47291,1059436,66983
白银市,1993791,84638,1836282,111034
上饶市,520904,25098,510350,27928
中卫市,1916130,80402,1819069,116192
驻马店市,719638,28817,704400,30212
沈阳市,1730411,73243,1628001,76534
怒江州,2961273,144299,2895403,161696
酒泉市,2947346,123040,2793850,177809
湛江市,1877608,78848,1803440,106692
朔州市,1423320,61274,1366623,76145
咸阳市,1396407,56925,1349767,81440
丹东市,1899957,80096,1767700,93612
台州市,339188,17384,338991,17359
黄石市,768218,34688,711280,45959
琼中黎族苗族自治县,2137435,100580,2069420,126502
凉山彝族自治州,2325959,103679,2237496,122600
呼伦贝尔市,2755085,127009,2617514,147491
鞍山市,1667885,70094,1586087,79090
齐齐哈尔市,2449225,110052,2357700,128367
徐州市,515211,22464,503924,30784
昭通市,2050034,96345,2028344,101635
南充市,1651521,72632,1633683,75420
安庆市,515795,22494,477858,28532
九江市,703186,33647,666564,41286
安康市,1318877,54802,1272119,77759
日喀则地区,4511025,226905,4392623,239650
河源市,1217883,53778,1178184,69142
塔城地区,4154196,181714,4026601,221384
德阳市,1882827,81127,1833154,87044
黔东南苗族侗族,1670690,78225,1620152,100061
揭阳市,1290502,54599,1239587,73015
金华市,304274,15865,293978,20158
延安市,1476352,64124,1392260,100269
内江市,1843003,81269,1783424,88635
汕头市,1249283,55263,1205215,68321
辽阳市,1685993,70899,1609719,74245
江门市,1553768,68871,1509373,85999
甘孜藏族自治州,2539206,124644,2509142,129932
晋城市,1032298,44287,980392,61979
嘉兴市,110275,6221,106039,6829
保山市,2833525,128099,2768985,142426
安顺市,1894548,85319,1830451,105221
呼和浩特市,1621557,69929,1532930,88490
海口市,2039419,96975,1974804,123117
达州市,1557202,67251,1517544,70313
延边朝鲜族自治州,2351864,99362,2260484,119383
盐城市,289120,12840,275941,13766
伊春市,2621463,129013,2538815,146383
长春市,2073832,87650,1987409,91592
黄冈市,667457,29832,628533,36843
东沙群岛,1381503,59766,1303471,76496
资阳市,1813459,79211,1783344,84091
丽水市,464837,23440,447809,29430
许昌市,791242,31528,779698,39119
信阳市,617237,26547,614274,27552
赤峰市,1666640,75098,1593966,79582
南通市,115200,6076,111056,7634
泰安市,708282,31610,689066,40593
佳木斯市,2791267,130039,2689486,139184
东营市,818193,34924,790168,55910
眉山市,1936516,83693,1909055,88499
娄底市,1189119,51300,1140025,75810
济宁市,699486,30003,648721,36173
抚州市,774931,36339,753724,44917
张家口市,1397252,60690,1313099,79135
清远市,1393474,61016,1313953,81428
迪庆州,2927306,134201,2765812,168416
鹰潭市,590141,28477,575420,33086
贵阳市,1776386,76784,1696380,91801
重庆市,1453642,66509,1450206,67746
盘锦市,1573097,66327,1480140,73446
铜川市,1389294,57900,1313981,85661
和田地区,4397355,209417,4326776,228167
西宁市,2186665,96488,2112339,123333
黑河市,2955946,135256,2620884,159184
海西蒙古族藏族自治州直辖,2929649,131003,2850291,155434
锦州市,1593151,68401,1481382,72645
大理市,2643922,122358,2579382,136894
定安县,2083986,98345,2013797,125104
楚雄市,2471108,112520,2405297,128469
开封市,779628,32512,742178,53023
昌江黎族自治县,2177265,102632,2110606,127846
泰州市,170227,8296,160698,9622
